id	name	total_bases	number	address	longitude	latitude	
58	Barceló	21	54	Calle Barceló 7	-3.7004230	40.4266828	
59	Plaza de San Ildefonso	24	55	Plaza de San Ildefonso 3	-3.7020842	40.4239757	
60	Plaza del Carmen 	24	56	Plaza del Carmen 1	-3.7032414	40.4184192	
61	Santa Cruz del Marcenado	24	57	Calle Santa Cruz del Marcenado 24	-3.7126299	40.4295658	
62	Augusto Figueroa	24	58	Calle Augusto Figueroa 33	-3.6978950	40.4222862	
63	Plaza de Juan Pujol	21	59	Calle Espíritu Santo 30	-3.7043418	40.4255495	
64	Plaza de la Independencia	24	60	Plaza de la Independencia 6	-3.6883980	40.4197520	
65	Narváez	24	61	Calle O'Donnell 28	-3.6752045	40.4213983	
66	O'Donnell	24	62	Calle O'Donnell 50	-3.6724968	40.4213148	
67	Ibiza	24	63	Calle Ibiza 62	-3.6708959	40.4179237	
69	Antonio Maura	24	65	Calle Antonio Maura 15	-3.6904525	40.4165605	
71	Almadén	24	67	Calle Almadén 28	-3.6932250	40.4108472	
72	Espalter	21	68	Calle Espalter 1	-3.6912023	40.4128372	
73	Puerta del ángel Caído	27	69	Avenida de Alfonso XII 54	-3.6888220	40.4098080	
74	Puerta del Doce de Octubre	24	70	Avenida de Menéndez Pelayo 63	-3.6779232	40.4153053	
75	Doce de Octubre	24	71	Calle Doce de Octubre 28	-3.6738865	40.4159569	
76	Sainz de Baranda	24	72	Calle Doctor Esquerdo 99	-3.6691838	40.4157413	
77	Plaza de los Astros	24	73	Avenida de Nazaret 7	-3.6689089	40.4114475	
78	Puerta del Pacífico 	24	74	Avenida de Menéndez Pelayo 73	-3.6766813	40.4117627	
79	Menéndez Pelayo	24	75	Avenida de Menéndez Pelayo 90	-3.6784838	40.4082805	
80	Puerta de Mariano de Cavia	24	76	Avenida del Mediterráneo 19	-3.6750121	40.4076726	
81	Conde de Casal	22	77	Plaza del Conde de Casal 8	-3.6704220	40.406350	
82	Pedro Bosch	24	78	Calle Cerro de la Plata 2	-3.6744804	40.4009101	
83	Puerta de Granada	24	79	Avenida de Menéndez Pelayo 38	-3.6803874	40.4051451	
84	Atocha A	24	80a	Paseo de la Infanta Isabel 3	-3.6902255	40.4075685	
85	Atocha B	27	80b	Paseo de la Infanta Isabel 3	-3.6901234	40.4074902	
86	Cuesta de Moyano	24	81	Plaza del Emperador Carlos V 11	-3.6919870	40.4092970	
